,edit_count,sentiment,neg_sentiment
2014-01-12,8.766666666666667,-0.11329699210227988,0.4247613546815675
2014-01-13,5.133333333333334,-0.16180495674945736,0.4520340819542947
2014-01-14,3.6666666666666665,-0.14529898434601446,0.44328703703703703
2014-01-15,3.1333333333333333,-0.1463604840857011,0.4287037037037037
2014-01-16,3.1333333333333333,-0.14633516999306503,0.4287037037037037
2014-01-17,3.3333333333333335,-0.1687770158415118,0.442989417989418
2014-01-18,3.1,-0.17468696052592897,0.4448412698412698
2014-01-19,3.033333333333333,-0.2084072329793512,0.4638156288156289
2014-01-20,3.033333333333333,-0.1741396539602815,0.4471489621489621
2014-01-21,3.966666666666667,-0.14135823036506498,0.43048229548229544
2014-01-22,4.3,-0.13583269038407064,0.4282600732600733
2014-01-23,4.2,-0.137024597180632,0.42826007326007326
2014-01-24,4.5,-0.10633705177513816,0.4115934065934066
2014-01-25,4.8,-0.14075471677986837,0.431037851037851
2014-01-26,4.866666666666666,-0.11341066726652839,0.41437118437118436
2014-01-27,5.2,-0.10027787791758375,0.40753357753357755
2014-01-28,5.333333333333333,-0.10111681577632424,0.40753357753357755
2014-01-29,5.3,-0.0903736328787565,0.40197802197802196
2014-01-30,6.433333333333334,-0.09930222482668602,0.42256625727213964
2014-01-31,6.833333333333333,-0.09932444898615381,0.4225662572721396
2014-02-01,6.9,-0.10340440281560123,0.43923292393880625
2014-02-02,7.166666666666667,-0.11959203663796286,0.4642329239388063
2014-02-03,7.266666666666667,-0.10539469238781367,0.47534403504991735
2014-02-04,7.366666666666666,-0.14262711879276668,0.49534403504991736
2014-02-05,7.5,-0.13917235708895756,0.512010701716584
2014-02-06,7.533333333333333,-0.14056543419755266,0.5175662572721396
2014-02-07,7.433333333333334,-0.12042747149861621,0.5092329239388064
2014-02-08,7.5,-0.12045228193200397,0.525899590605473
2014-02-09,8.033333333333333,-0.11144963038185228,0.5184921831980656
2014-02-10,8.066666666666666,-0.14456158610402534,0.5518255165313989
2014-02-11,8.3,-0.15390752928121323,0.5536773683832508
2014-02-12,8.6,-0.11286989844504429,0.5303440350499175
2014-02-13,8.566666666666666,-0.09597522679299215,0.5192329239388063
2014-02-14,9.033333333333333,-0.10680874890275045,0.5406614953673777
2014-02-15,9.1,-0.06804883386877421,0.5184392731451555
2014-02-16,9.733333333333333,-0.06052928922410404,0.5156920203979027
2014-02-17,9.966666666666667,-0.07630577553259042,0.5249512796571619
2014-02-18,9.733333333333333,-0.060318182062114804,0.515976920682803
2014-02-19,9.533333333333333,-0.053104491847427895,0.5104213651272475
2014-02-20,8.8,-0.048809507026611625,0.5062546984605808
2014-02-21,8.566666666666666,-0.025362964770203365,0.4943102540161364
2014-02-22,8.533333333333333,0.01371692455377294,0.4720880317939142
2014-02-23,8.166666666666666,0.004522637723877497,0.4776435873494697
2014-02-24,7.8,0.05557090593608995,0.44708803179391415
2014-02-25,7.666666666666667,0.0285683900439022,0.44708803179391415
2014-02-26,7.5,0.024433770196580076,0.44837008307596543
2014-02-27,7.266666666666667,0.05520927798444349,0.43170341640929877
2014-02-28,7.1,0.04444869053060133,0.43725897196485436
2014-03-01,6.0,0.0783146439573364,0.4166707366707367
2014-03-02,5.6,0.07455003800943319,0.4166707366707367
2014-03-03,5.666666666666667,0.0813588330443186,0.4166707366707367
2014-03-04,5.6,0.08450293277324726,0.41389295889295885
2014-03-05,5.633333333333334,0.06970396953776303,0.41944851444851444
2014-03-06,5.466666666666667,0.07791263141189836,0.3994485144485144
2014-03-07,5.366666666666666,0.0993952311868948,0.38278184778184776
2014-03-08,5.433333333333334,0.09982916743842915,0.3805596255596255
2014-03-09,5.433333333333334,0.034277288429818115,0.41389295889295885
2014-03-10,5.4,0.05923946034201141,0.3972262922262922
2014-03-11,4.9,0.07021684666650538,0.39352258852258853
2014-03-12,4.933333333333334,0.0703165821251973,0.39352258852258853
2014-03-13,4.933333333333334,0.058559942777061245,0.4009299959299959
2014-03-14,4.6,0.05001830730349201,0.39092999592999594
2014-03-15,4.6,-0.0025935612766903853,0.42426332926332927
2014-03-16,4.2,0.005642686450158763,0.41950142450142447
2014-03-17,4.3,-0.02034858879413021,0.4361680911680912
2014-03-18,3.5,-0.06301229093361785,0.45796296296296296
2014-03-19,3.4,-0.048002919383622986,0.4487037037037037
2014-03-20,3.2666666666666666,-0.08065302950916467,0.4653703703703704
2014-03-21,3.2333333333333334,-0.10614748891305041,0.4798148148148148
2014-03-22,2.966666666666667,-0.11107092371693364,0.4673148148148148
2014-03-23,2.7333333333333334,-0.15202292324216277,0.4881481481481481
2014-03-24,2.7666666666666666,-0.17279432403820533,0.49925925925925924
2014-03-25,2.6666666666666665,-0.14592923162160096,0.4825925925925926
2014-03-26,2.8333333333333335,-0.17442958491819877,0.5048148148148148
2014-03-27,2.9,-0.17434677618521233,0.5214814814814814
2014-03-28,2.7666666666666666,-0.20147851594068386,0.5381481481481482
2014-03-29,2.7333333333333334,-0.23247920957980334,0.5381481481481482
2014-03-30,2.8,-0.17161721343243563,0.5048148148148148
2014-03-31,2.8666666666666667,-0.22951267978659384,0.5381481481481482
2014-04-01,2.8,-0.22563990176827822,0.5214814814814814
2014-04-02,2.6666666666666665,-0.22836874297371618,0.5048148148148148
2014-04-03,2.466666666666667,-0.2153252088802832,0.4825925925925926
2014-04-04,2.3666666666666667,-0.18547682650663233,0.4659259259259259
2014-04-05,2.4,-0.21858878222880537,0.49925925925925924
2014-04-06,2.533333333333333,-0.2753643672444202,0.5325925925925926
